Esas No,Tarih,İl,Milletvekili,Muhatap Bakanlık,Durum,Önerge Özeti
7 / 43006,06.04.2026,Muş,Sezai TEMELLİ,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Erzurum H Tipi Kapalı Cezaevinde yaşandığı iddia edilen hak ihlallerine ilişkin
7 / 19306,06.11.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bazı belediyelere atanan kayyımlara dair çeşitli iddialara ilişkin
7 / 31383,10.07.2025,Afyonkarahisar,Hakan Şeref OLGUN,Tarım Ve Orman Bakanlığı,Cevaplandı,Konya ilinin Doğanhisar ilçesinde şap hastalığı ile mücadeleye ilişkin
7 / 2405,28.07.2023,Ordu,Mustafa ADIGÜZEL,Aile Ve Sosyal Hizmetler Bakanlığı,Cevaplandı,Ordu ili Çaybaşı ilçesindeki engelli yaşam merkezine ilişkin
7 / 40874,20.02.2026,Diyarbakır,Mustafa Sezgin TANRIKULU,Aile Ve Sosyal Hizmetler Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Çocuk işçiliğiyle mücadeleye ilişkin
7 / 15006,09.08.2024,Ankara,Kürşad ZORLU,Hazine Ve Maliye Bakanlığı,Cevaplandı,Kamuda engelli personel istihdamına ilişkin
7 / 19531,20.11.2024,Batman,Zeynep ODUNCU KUTEVİ,Aile Ve Sosyal Hizmetler Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Toplumsal cinsiyet eşitliğinin sağlanması ve kadına karşı şiddet vakalarının önlenmesi için Kars ilinde yapılan çalışmalara ilişkin
7 / 2793,03.08.2023,Mardin,Kamuran TANHAN,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Süresi Geçtikten Sonra Cevaplandı,IŞİD saldırıları sonucunda hayatını kaybeden veya esir alınan Ezidilere ilişkin
7 / 11451,22.04.2024,Tekirdağ,İlhami Özcan AYGUN,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bakanlık tarafından yapılan görevde yükselme ve ünvan değişikliği sınavına ilişkin
7 / 17759,04.10.2024,Bitlis,Hüseyin OLAN,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bitlis ilinin Hizan ilçesinin Süttaşı köyüne İl Özel İdaresi tarafından yapılan hizmetlere ilişkin
7 / 22892,29.01.2025,Şanlıurfa,Mahmut TANAL,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Şanlıurfa'nın Eyyübiye ilçesinin internet altyapısı sorununa ilişkin
7 / 4210,12.09.2023,Denizli,Yasin ÖZTÜRK,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,ALO 182 randevu sistemleri ile yapılan telefon görüşmelerinin ücretlerine ilişkin
7 / 39404,21.01.2026,Samsun,Murat ÇAN,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Samsun Şehir Hastanesinde asistan hekimlere hasta transferi görevi verilmesine ilişkin
7 / 3938,06.09.2023,Manisa,Bekir BAŞEVİRGEN,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,son üç yılda ülkemizde ve Manisa'da BAĞ-KUR primini ödeyemeyen çiftçi ve esnaf sayısına ilişkin
7 / 31967,30.07.2025,Şanlıurfa,Mahmut TANAL,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Şanlıurfa'da tarım dışı amaçlarla kullanılan tarım arazilerine ilişkin
7 / 7685,26.12.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir mahkumun öğrencisi olduğu üniversitenin sınavlarına giremediği iddiasına ilişkin
7 / 21010,13.12.2024,İstanbul,Gökhan GÜNAYDIN,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Cevaplandı,TBMM'nin 2025 yılı bütçesine ilişkin
7 / 17100,02.10.2024,Hakkari,Vezir Coşkun PARLAK,Milli Savunma Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sayıştayın 2023 yılı Denetim Raporu'nda Bakanlık ile ilgili yaptığı bazı tespitlere ilişkin
7 / 40374,11.02.2026,Kocaeli,Ömer Faruk GERGERLİOĞLU,Çalışma Ve Sosyal Güvenlik Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Kocaeli'nin Dilovası ilçesinde yaşanan bir iş kazasına ilişkin
7 / 7875,29.12.2023,Gümüşhane,Musa KÜÇÜK,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Gümüşhane ilinde bulunan bir altın üretim tesisisin kapatılacağı iddiasına ilişkin
7 / 18546,24.10.2024,Van,Gülcan KAÇMAZ SAYYİĞİT,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,2011 yılında Van'da gerçekleşen depremler sonrası yapılan çalışmalara ilişkin
7 / 32925,21.08.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sincan T Tipi Kapalı Cezaevinde bulunan bir mahkumun nakil talebine ilişkin
7 / 35912,23.10.2025,Van,Zülküf UÇAR,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,20 Ekim 2025 tarihinde Van'da güvenlik görevlilerinin gözaltında bulunan bir vatandaşın avukatına kötü muamelede bulunduğu iddiasına ilişkin
7 / 27030,18.04.2025,Hakkari,Vezir Coşkun PARLAK,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Şemdinli Devlet Hastanesinin doktor ihtiyacına ilişkin
7 / 25562,10.03.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kanatlı hayvan yetiştiriciliğinin desteklenmesine yönelik çalışmalara ilişkin
7 / 33396,14.08.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Siirt ilinde aşırı sıcaklara karşı alınan önlemlere ilişkin
7 / 14952,02.08.2024,İzmir,Mahir POLAT,Ulaştırma Ve Altyapı Bakanlığı,Cevaplandı,1915 Çanakkale Köprüsü ve Otoyolunun işletme süresine ilişkin
7 / 7544,22.12.2023,Sakarya,Ümit DİKBAYIR,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Astsubayların mali ve özlük haklarına ilişkin
7 / 38012,19.12.2025,Uşak,Ali KARAOBA,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Psikolog atamasına ve psikologların yaşadıkları sorunlara ilişkin
7 / 19796,26.11.2024,Ordu,Mustafa ADIGÜZEL,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Süresi Geçtikten Sonra Cevaplandı,Savunma Sanayii Başkanı'nın yurt dışı seyahatleriyle ilgili bazı iddialara ilişkin
7 / 4206,12.09.2023,Denizli,Yasin ÖZTÜRK,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,"Bakanlığa bağlı kurum ve kuruluşlarca 2023 yılından önce Burdur iline yapılan, yapılmakta olan ve yapılması planlanan yatırımlara ilişkin"
7 / 9244,06.02.2024,İstanbul,İsa Mesih ŞAHİN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,6 Şubat 2023 tarihli depremlerden etkilenen illerde depremzedeler için yapılan konutlara ve yürütülen çalışmalara ilişkin
7 / 33211,28.08.2025,İstanbul,Mustafa YENEROĞLU,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,BTK ve Türk Telekom arasında yapılan sabit hizmetler imtiyazı süresinin uzatılmasına ilişkin
7 / 14203,23.07.2024,İstanbul,Ahmet ŞIK,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Aydın ili Didim ilçesindeki bazı kıyı alanlarının ve doğal varlıkların yapılaşmaya açılmasına ilişkin
7 / 15908,03.09.2024,Şırnak,Nevroz UYSAL ASLAN,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Şırnak T Tipi Kapalı Cezaevinde bulunan bir mahkumun sağlık hakkının ihlal edildiği iddiasına ilişkin
7 / 7170,11.12.2023,Antalya,Şerafettin KILIÇ,Aile Ve Sosyal Hizmetler Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2007-2023 yılları arasında Bakanlığın yaptığı sosyal yardımlara ilişkin
7 / 31035,21.07.2025,İstanbul,Mehmet Satuk Buğra KAVUNCU,Dışişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Batı Trakya'daki Türk azınlık temsilcilerine yönelik yürütülen dava sürecine ilişkin
7 / 12959,07.06.2024,Trabzon,Yavuz AYDIN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Trabzon Beşirli sahilinde yapılması planlanan Gülcemal Projesi'ne ilişkin
7 / 10938,05.04.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Sincan Yüksek Güvenlikli Kapalı Cezaevinde bulunan bir mahkumun yaşadığı iddia edilen hak ihlallerine ilişkin
7 / 25125,07.03.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Marmara 5 Nolu L Tipi Kapalı Cezaevinde bulunan bir mahkumun tahliye talebine ilişkin
7 / 13151,13.06.2024,Aydın,Süleyman BÜLBÜL,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Aydın'da son 5 yılda intihar eden kişi sayısına ilişkin
7 / 6702,24.11.2023,Bursa,Nurhayat ALTACA KAYIŞOĞLU,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bursa Vergi Dairesinin bir uygulamasına ilişkin
7 / 20534,16.12.2024,Ankara,Kürşad ZORLU,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ankara'nın Güdül ilçesinde Bakanlığın yaptığı çalışmalara ilişkin
7 / 32125,01.08.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Cevaplandı,Menemen R Tipi Cezaevinde bulunan bir mahkumun nakil talebine ilişkin
7 / 32255,06.08.2025,Hakkari,Öznur BARTİN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Hakkari'nin Çukurca ilçesine bağlı Kazan köyünün altyapı ve su sorununa ilişkin
7 / 7017,06.12.2023,Mardin,Kamuran TANHAN,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sayıştayın 2022 yılı Denetim Raporu'nda Marmara Belediyeler Birliği ile ilgili yaptığı bazı tespitlere ilişkin
7 / 31524,23.07.2025,Ankara,Deniz DEMİR,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Organ ticaretinin önlenmesi çalışmalarına ilişkin
7 / 871,20.06.2023,Bingöl,Ömer Faruk HÜLAKÜ,Sağlık Bakanlığı,Cevaplandı,Bingöl'de yaşanan uzman doktor eksikliğine ilişkin
7 / 20881,19.12.2024,Denizli,Yasin ÖZTÜRK,Ticaret Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bakanlığa bağlı kurum ve kuruluşların bünyesinde bulunan araçlara ilişkin
7 / 38284,24.12.2025,Ardahan,Özgür Erdem İNCESU,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Ardahan'ın Göle ilçesine bağlı Samandöken köyünde yaşanan yol sorununa ilişkin
7 / 1187,20.06.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,KHK ile ihraç edilen bir vatandaşın açtığı davanın lehine sonuçlanmasına rağmen görevine iade edilmediği iddiasına ilişkin
7 / 42679,01.04.2026,İzmir,Burcugül ÇUBUK,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Edirne F Tipi Kapalı Cezaevinde bulunan bir mahkuma açılan disiplin soruşturmasına ilişkin
7 / 12068,16.05.2024,Erzurum,Meral DANIŞ BEŞTAŞ,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Tarımsal üretimin desteklenmesine yönelik çalışmalara ilişkin
7 / 32003,25.07.2025,Hakkari,Vezir Coşkun PARLAK,Adalet Bakanlığı,Cevaplandı,6-8 Ekim olayları nedeniyle yapılan yargılamalara ilişkin
7 / 42713,02.04.2026,Bitlis,Hüseyin OLAN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Sayıştayın 2023 ve 2024 yılı denetim raporlarında İller Bankası A.Ş. ile ilgili yaptığı bazı tespitlere ilişkin
7 / 32297,04.08.2025,Sivas,Ulaş KARASU,Ulaştırma Ve Altyapı Bakanlığı,Cevaplandı,HGS'ye yönelik siber saldırılara ilişkin
7 / 24647,26.02.2025,Bolu,İsmail AKGÜL,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bolu ilinde yaşanan GSM ve internet altyapısı sorunlarına ilişkin
7 / 37513,10.12.2025,Kayseri,Mustafa Baki ERSOY,Gençlik Ve Spor Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Kayseri'nin Kocasinan ilçesinde yapılması planlanan spor salonu ve yarı olimpik yüzme havuzu projesine ilişkin
7 / 20754,11.12.2024,Sivas,Ulaş KARASU,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Çukurova Havalimanının yapım ve işletme sürecine ilişkin
7 / 25713,12.03.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Sanayi Ve Teknoloji Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,OHAL KHK'ları ile Bakanlıktan ihraç edilen kamu görevlilerine ilişkin
7 / 21200,26.12.2024,Zonguldak,Deniz YAVUZYILMAZ,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Piyasa Yönetim Sistemi yazılımına ilişkin
7 / 8058,08.01.2024,Ankara,Deniz DEMİR,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kan kanseri tedavisinde kullanılan bir ilaç ile ilgili iddialara ilişkin
7 / 42781,02.04.2026,Van,Gülderen VARLİ,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Van ili genelinin ulaşım altyapısında iyileştirmeler yapılması talebine ilişkin
7 / 38073,22.12.2025,Manisa,Ahmet Vehbi BAKIRLIOĞLU,Gençlik Ve Spor Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,KYK yurtlarının kapasitesine ilişkin
7 / 38823,30.12.2025,Giresun,Elvan IŞIK GEZMİŞ,Milli Savunma Bakanlığı,Cevaplandı,18 Aralık 2025 tarihinde Van'da vatani görevini yaparken hayatını kaybeden bir askere ilişkin
7 / 9778,22.02.2024,Şanlıurfa,Mahmut TANAL,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Şanlıurfa Büyükşehir Belediyesinin borçlarına ilişkin
7 / 44205,05.05.2026,Niğde,Ömer Fethi GÜRER,Enerji Ve Tabii Kaynaklar Bakanlığı,15 Günlük Cevaplanma Süresi Devam Ediyor,Tarım arazilerine ve meralara kurulan GES'lere ilişkin
7 / 37426,09.12.2025,Tunceli,Ayten KORDU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Tunceli ilindeki bir KYK yurdunda öğrenci olmayan bir kişinin kaldığı iddiasına ilişkin
7 / 21403,27.12.2024,Ankara,Kürşad ZORLU,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Yozgat'ın Yerköy ilçesindeki İnandık Barajı'nın yapım sürecine ilişkin
7 / 18247,17.10.2024,Mersin,Perihan KOCA DOĞAN,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kırşehir S Tipi Kapalı Cezaevinde bulunan hasta bir mahkumun tahliye talebine ilişkin
7 / 4555,21.09.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Şırnak T Tipi Kapalı Cezaevinde bulunan bir tutukluya ilişkin
7 / 20634,16.12.2024,Ankara,Kürşad ZORLU,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ankara'nın Haymana ilçesinde Bakanlığın yaptığı çalışmalara ilişkin
7 / 16495,20.09.2024,Şanlıurfa,Mahmut TANAL,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,6 Şubat 2023 tarihli Kahramanmaraş merkezli depremler sonrası Hatay'ın Payas ilçesindeki nüfus değişimine ilişkin
7 / 8621,19.01.2024,Zonguldak,Deniz YAVUZYILMAZ,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ülke genelinde ikili eğitime devam eden okul ve öğrenci sayısına ilişkin
7 / 37499,10.12.2025,Mersin,Faruk DİNÇ,Çalışma Ve Sosyal Güvenlik Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Motosikletli kuryelerin sorunlarına ilişkin
7 / 26756,09.04.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,"Karadeniz bölgesinde hava, su ve çevre kirliliğine karşı alınan önlemlere ilişkin"
7 / 18390,21.10.2024,Çorum,Mehmet TAHTASIZ,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Çorum ilinin kentsel dönüşüm ihtiyacına ilişkin
7 / 22286,13.01.2025,İstanbul,Doğan BEKİN,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Köprü ve otoyol geçiş ücretlerine yapılan zamlara ilişkin
7 / 39797,04.02.2026,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bir vatandaşın emeklilik talebine ilişkin
7 / 21427,31.12.2024,Ankara,Umut AKDOĞAN,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2025 yılında uygulanacak asgari ücret miktarına ilişkin
7 / 15945,03.09.2024,Muğla,Selçuk ÖZDAĞ,Enerji Ve Tabii Kaynaklar Bakanlığı,Cevaplandı,Akaryakıt fiyatlarında yaşanan artışın asgari ücretliler üzerindeki etkilerine ilişkin
7 / 13834,10.07.2024,Diyarbakır,Mustafa Sezgin TANRIKULU,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Cevaplandı,6 Şubat 2023 tarihli depremlerde zarar gören kamu binalarına ilişkin
7 / 42810,01.04.2026,İzmir,Mustafa BİLİCİ,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Zeytin rekolte tahmininde kullanılan yöntemlere ilişkin
7 / 29313,13.06.2025,Bingöl,Ömer Faruk HÜLAKÜ,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bingöl'ün Yedisu ilçesinde verilen eğitim hizmetlerine ilişkin
7 / 2723,02.08.2023,Mardin,Kamuran TANHAN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplandı,Mardin ili Nusaybin ilçesindeki bir mahallenin çevre düzenlemesine ilişkin
7 / 33965,19.09.2025,Adana,Sadullah KISACIK,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Merkez Bankasının faiz indirimi kararına ilişkin
7 / 36845,25.11.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Son iki yılda Diyarbakır'ın Eğil ilçesine yapılan kamu yatırımlarına ilişkin
7 / 32936,21.08.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bolu F Tipi Kapalı Cezaevinde bulunan bir mahkumun nakil talebinin reddedildiği iddiasına ilişkin
7 / 17194,04.10.2024,Konya,Barış BEKTAŞ,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Konya ilindeki hava kirliliğine ilişkin
7 / 19732,26.11.2024,Diyarbakır,Mustafa Sezgin TANRIKULU,Kültür Ve Turizm Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,2025 yılı bütçesinde Bakanlık tarafından Diyarbakır iline ayrılan ödeneğe ilişkin
7 / 32149,01.08.2025,Uşak,Ali KARAOBA,Dışişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,2000'den bu yana Uşak'ı ziyaret eden yabancı büyükelçilere ilişkin
7 / 38547,17.12.2025,İstanbul,Özgül SAKİ,Başkan Numan KURTULMUŞ,Cevaplandı,TBMM bünyesinde staj yapan bir öğrencinin maruz kaldığı iddia edilen taciz olayına ilişkin
7 / 3298,10.08.2023,Adana,Müzeyyen ŞEVKİN,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2023 yılı itibarıyla ülke genelindeki ve Adana'daki orman varlığına ilişkin
7 / 446,13.06.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Sincan 2 Nolu F Tipi Kapalı Cezaevinde bulunan bir hükümlünün denetimli serbestlik hükümlerinden yararlandırılmadığı iddiasına ilişkin
7 / 33644,04.09.2025,Uşak,Ali KARAOBA,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Uşak ilindeki sulama ve içme suyu göletlerine ilişkin
7 / 22535,28.01.2025,Mardin,Beritan GÜNEŞ ALTIN,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Mardin Yeşilli Entegre Hastanesinin personel ve fiziki kapasite eksikliğine ilişkin
7 / 25883,20.03.2025,Ankara,Aylin YAMAN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Ankara'nın Beypazarı ilçesindeki TOKİ konutlarında yaşanan bazı sorunlara ilişkin
7 / 4512,21.09.2023,Şırnak,Mehmet Zeki İRMEZ,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Şırnak İli Merkez Öğretmenevinin faaliyete başlayacağı tarihe ilişkin
7 / 44589,11.05.2026,Burdur,İzzet AKBULUT,Sanayi Ve Teknoloji Bakanlığı,15 Günlük Cevaplanma Süresi Devam Ediyor,Burdur ilinde bulunan pancar kantarlarının kiraya verilmesine ilişkin
7 / 27727,28.04.2025,Sakarya,Ayça TAŞKENT,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,19 Mart 2025 tarihinden itibaren gerçekleştirilen protestolarda gözaltına alınan bazı kişilere kötü muamelede bulunulduğu iddiasına ilişkin
7 / 13758,04.07.2024,İzmir,Rahmi Aşkın TÜRELİ,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ülkemizin dış borcuna ilişkin
7 / 30816,11.07.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Dumlu 1 Nolu Cezaevinde bulunan bazı mahkumların sağlık durumuna ilişkin
7 / 25538,10.03.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Sanayi Ve Teknoloji Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Yatırım Teşvik Sisteminin süresinin uzatılması talebine ilişkin
7 / 33418,14.08.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Milli Eğitim Bakanlığı,Cevaplandı,Siirt ilinde aşırı sıcaklara karşı alınan önlemlere ilişkin
7 / 5203,10.10.2023,Zonguldak,Deniz YAVUZYILMAZ,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Zonguldak Adliyesi binasının Türkiye Taşkömürü Kurumuna ait bir arsaya taşınmasına ilişkin
7 / 19600,21.11.2024,İstanbul,İsa Mesih ŞAHİN,Aile Ve Sosyal Hizmetler Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Çocuklarda yoksulluk ve sosyal dışlanma sorunlarının önlenmesine ilişkin
7 / 44361,07.05.2026,Trabzon,Yavuz AYDIN,Sağlık Bakanlığı,15 Günlük Cevaplanma Süresi Devam Ediyor,Trabzon ilindeki iki hastaneyle ilgili özelleştirme kararına ilişkin
7 / 38924,09.01.2026,Konya,Ali YÜKSEL,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Eczacıların sorunlarına ilişkin
7 / 29639,19.06.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Kocaeli'nin Körfez ilçesinde bulunan sahil yolunda yürütülen çalışmalar sebebiyle yaşanan mağduriyete ilişkin
7 / 36024,31.10.2025,Iğdır,Yılmaz HUN,Gençlik Ve Spor Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Profesyonel liglerde görev yapan ve bahis oynadığı tespit edilen hakemlere ilişkin
7 / 9878,26.02.2024,Erzincan,Mustafa SARIGÜL,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Erzincan'ın İliç ilçesinde faaliyet gösteren altın madeninde çalışan personelin sağlık kontrolüne ilişkin
7 / 30949,17.07.2025,İzmir,Murat BAKAN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Son 5 yılda Emniyet Genel Müdürlüğü personeli olup mobbing şikayeti yapan kişi sayısına ilişkin
7 / 11140,19.04.2024,Bursa,Yüksel Selçuk TÜRKOĞLU,Çalışma Ve Sosyal Güvenlik Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bursa Osmangazi Belediyesince 1 Ocak - 31 Mart 2024 tarihleri arasında işten çıkarılan personel sayısına ilişkin
7 / 35633,21.10.2025,Diyarbakır,Halide TÜRKOĞLU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sayıştayın 2024 yılı Denetim Raporu'nda Erciyes Üniversitesi ile ilgili yaptığı bazı tespitlere ilişkin
7 / 3097,11.08.2023,Mersin,Ali BOZAN,Enerji Ve Tabii Kaynaklar Bakanlığı,Cevaplandı,Enerji şirketlerinin jeneratör kullanımından aldıkları ücretlere ilişkin
7 / 43636,21.04.2026,Hakkari,Öznur BARTİN,Milli Eğitim Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Hakkari'nin Şemdinli ilçesine bağlı Alan köyündeki yol projesinin gecikmesi nedeniyle yaşanan sorunlara ilişkin
